# mammos csv v3
#----------------------------------------
# Hysteresis loop.
# Generated from mammos_mumag 0.11.0.
# `configuration_type` is the name of the corresponding vtu file containing the magnetization.
# `B_ext` is the applied magnetic flux density.
# `J` is the polarisation in the direction of the applied magnetic flux.
# `Jx`, `Jy`, `Jz` are the components of the polarisation.
# `energy_density` is the energy density.
#----------------------------------------
,MagneticFluxDensity,MagneticPolarisation,MagneticPolarisation,MagneticPolarisation,MagneticPolarisation,EnergyDensity
,,,,,,
,https://w3id.org/emmo#EMMO_961d1aba_f75e_4411_aaa4_457f7516ed6b,https://w3id.org/emmo#EMMO_74a096dd_cc83_4c7e_b704_0541620ff18d,https://w3id.org/emmo#EMMO_74a096dd_cc83_4c7e_b704_0541620ff18d,https://w3id.org/emmo#EMMO_74a096dd_cc83_4c7e_b704_0541620ff18d,https://w3id.org/emmo#EMMO_74a096dd_cc83_4c7e_b704_0541620ff18d,https://w3id.org/emmo/domain/magnetic-materials#EMMO_56258d3a-f2ee-554e-af99-499dd8620457
,T,T,T,T,T,J / m3
configuration_type,B_ext,J,Jx,Jy,Jz,energy_density
1,1.0,2.136278298104907,0.00016112571554182946,5.955626025597111e-05,2.136278298104907,-1162801.0636347544
1,0.995,2.1362782770955837,0.0001624002688981994,6.00837854355673e-05,2.1362782770955837,-1154301.0824117125
1,0.99,2.1362782519583052,0.00016304546675064425,6.026261744104926e-05,2.1362782519583052,-1145801.1012739225
1,0.985,2.136278228185975,0.00016386817586050287,6.062628525614008e-05,2.136278228185975,-1137301.1202353893
1,0.98,2.1362782051070863,0.00016464127655103453,6.08696731521961e-05,2.1362782051070863,-1128801.1392891663
1,0.975,2.136278183380696,0.0001653461759285524,6.114514992361761e-05,2.136278183380696,-1120301.1584415461
1,0.97,2.136278160822968,0.00016613927297116386,6.146414427340269e-05,2.136278160822968,-1111801.177689017
1,0.965,2.136278137525246,0.00016693394081559125,6.17041680531461e-05,2.136278137525246,-1103301.1970402272
1,0.96,2.136278113200304,0.00016772211666405315,6.207530499978871e-05,2.136278113200304,-1094801.2164897688
1,0.955,2.136278075285856,0.00016869235204390322,6.239939910670745e-05,2.136278075285856,-1086301.2360711994
1,0.95,2.136278050242641,0.00016969202003111093,6.273402009852705e-05,2.136278050242641,-1077801.2557330625
1,0.945,2.1362780242508856,0.00017039269581901631,6.305475841128435e-05,2.1362780242508856,-1069301.2754964333
1,0.94,2.136277999389436,0.00017135515354191393,6.33230619060177e-05,2.136277999389436,-1060801.295364821
